08:13:47.916 [restartedMain] INFO  c.r.RuoYiApplication - [logStarting,55] - Starting RuoYiApplication using Java 1.8.0_202 on SC-202208161009 with PID 7820 (D:\RuoYi-Vue-master-pg\RuoYi-Vue-master\ruoyi-admin\target\classes started by Administrator in D:\RuoYi-Vue-master-pg)
08:13:47.932 [restartedMain] INFO  c.r.RuoYiApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "druid"
08:13:58.406 [restartedMain] INFO  c.r.RuoYiApplication - [logStarted,61] - Started RuoYiApplication in 11.901 seconds (JVM running for 14.111)
08:14:00.026 [quartzScheduler_Worker-1] INFO  custmer - [test,35] - 执行测试方法
08:14:05.002 [quartzScheduler_Worker-2] INFO  custmer - [test,35] - 执行测试方法
08:14:07.091 [schedule-pool-1] INFO  sys-user - [run,55] - [127.0.0.1]内网IP[admin][Success][登录成功]
08:14:12.099 [quartzScheduler_Worker-3] INFO  custmer - [test,35] - 执行测试方法
08:14:15.001 [quartzScheduler_Worker-4] INFO  custmer - [test,35] - 执行测试方法
08:14:20.000 [quartzScheduler_Worker-5] INFO  custmer - [test,35] - 执行测试方法
08:14:25.015 [quartzScheduler_Worker-6] INFO  custmer - [test,35] - 执行测试方法
08:14:30.015 [quartzScheduler_Worker-7] INFO  custmer - [test,35] - 执行测试方法
08:14:35.016 [quartzScheduler_Worker-8] INFO  custmer - [test,35] - 执行测试方法
08:14:40.002 [quartzScheduler_Worker-9] INFO  custmer - [test,35] - 执行测试方法
08:14:45.011 [quartzScheduler_Worker-10] INFO  custmer - [test,35] - 执行测试方法
08:14:50.007 [quartzScheduler_Worker-1] INFO  custmer - [test,35] - 执行测试方法
08:14:55.007 [quartzScheduler_Worker-2] INFO  custmer - [test,35] - 执行测试方法
08:15:00.006 [quartzScheduler_Worker-3] INFO  custmer - [test,35] - 执行测试方法
08:15:05.006 [quartzScheduler_Worker-4] INFO  custmer - [test,35] - 执行测试方法
08:15:10.002 [quartzScheduler_Worker-5] INFO  custmer - [test,35] - 执行测试方法
08:16:23.000 [SpringApplicationShutdownHook] INFO  sys-user - [shutdownAsyncManager,31] - ====关闭后台任务任务线程池====
08:16:28.206 [restartedMain] INFO  c.r.RuoYiApplication - [logStarting,55] - Starting RuoYiApplication using Java 1.8.0_202 on SC-202208161009 with PID 6872 (D:\RuoYi-Vue-master-pg\RuoYi-Vue-master\ruoyi-admin\target\classes started by Administrator in D:\RuoYi-Vue-master-pg)
08:16:28.206 [restartedMain] INFO  c.r.RuoYiApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "druid"
08:16:35.761 [restartedMain] INFO  c.r.RuoYiApplication - [logStarted,61] - Started RuoYiApplication in 7.909 seconds (JVM running for 9.02)
08:16:41.285 [quartzScheduler_Worker-1] INFO  custmer - [test,19] - 执行测试方法
08:16:45.008 [quartzScheduler_Worker-2] INFO  custmer - [test,19] - 执行测试方法
08:16:50.013 [quartzScheduler_Worker-3] INFO  custmer - [test,19] - 执行测试方法
08:16:55.012 [quartzScheduler_Worker-4] INFO  custmer - [test,19] - 执行测试方法
08:17:00.012 [quartzScheduler_Worker-5] INFO  custmer - [test,19] - 执行测试方法
08:17:09.056 [quartzScheduler_Worker-6] INFO  custmer - [test,19] - 执行测试方法
08:17:21.776 [quartzScheduler_Worker-7] INFO  custmer - [test,19] - 执行测试方法
08:18:52.849 [schedule-pool-2] INFO  sys-user - [run,55] - [127.0.0.1]内网IP[admin][Logout][退出成功]
08:44:02.683 [SpringApplicationShutdownHook] INFO  sys-user - [shutdownAsyncManager,31] - ====关闭后台任务任务线程池====
